Wavelength [um]	   Norm. Transmission [%]
9.422	     0.000830
9.423	     0.000831
9.424	     0.000831
9.425	     0.000831
9.426	     0.000830
9.427	     0.000827
9.428	     0.000825
9.429	     0.000821
9.430	     0.000817
9.431	     0.000812
9.432	     0.000808
9.433	     0.000803
9.434	     0.000797
9.435	     0.000792
9.436	     0.000786
9.437	     0.000779
9.438	     0.000773
9.439	     0.000766
9.440	     0.000759
9.441	     0.000752
9.442	     0.000746
9.443	     0.000740
9.444	     0.000735
9.445	     0.000730
9.446	     0.000725
9.447	     0.000720
9.448	     0.000715
9.449	     0.000711
9.450	     0.000708
9.451	     0.000705
9.452	     0.000703
9.453	     0.000701
9.454	     0.000701
9.455	     0.000701
9.456	     0.000701
9.457	     0.000702
9.458	     0.000703
9.459	     0.000705
9.460	     0.000707
9.461	     0.000709
9.462	     0.000712
9.463	     0.000716
9.464	     0.000719
9.465	     0.000724
9.466	     0.000728
9.467	     0.000732
9.468	     0.000737
9.469	     0.000741
9.470	     0.000744
9.471	     0.000748
9.472	     0.000751
9.473	     0.000755
9.474	     0.000759
9.475	     0.000762
9.476	     0.000765
9.477	     0.000767
9.478	     0.000769
9.479	     0.000771
9.480	     0.000771
9.481	     0.000772
9.482	     0.000771
9.483	     0.000771
9.484	     0.000770
9.485	     0.000769
9.486	     0.000767
9.487	     0.000765
9.488	     0.000763
9.489	     0.000760
9.490	     0.000756
9.491	     0.000752
9.492	     0.000748
9.493	     0.000743
9.494	     0.000739
9.495	     0.000735
9.496	     0.000731
9.497	     0.000727
9.498	     0.000723
9.499	     0.000719
9.500	     0.000715
9.501	     0.000711
9.502	     0.000708
9.503	     0.000705
9.504	     0.000703
9.505	     0.000701
9.506	     0.000700
9.507	     0.000700
9.508	     0.000701
9.509	     0.000702
9.510	     0.000703
9.511	     0.000706
9.512	     0.000709
9.513	     0.000713
9.514	     0.000718
9.515	     0.000724
9.516	     0.000731
9.517	     0.000739
9.518	     0.000748
9.519	     0.000757
9.520	     0.000768
9.521	     0.000779
9.522	     0.000791
9.523	     0.000804
9.524	     0.000817
9.525	     0.000831
9.526	     0.000846
9.527	     0.000862
9.528	     0.000878
9.529	     0.000896
9.530	     0.000913
9.531	     0.000931
9.532	     0.000948
9.533	     0.000966
9.534	     0.000984
9.535	     0.001003
9.536	     0.001021
9.537	     0.001041
9.538	     0.001060
9.539	     0.001079
9.540	     0.001098
9.541	     0.001116
9.542	     0.001134
9.543	     0.001152
9.544	     0.001170
9.545	     0.001187
9.546	     0.001205
9.547	     0.001222
9.548	     0.001239
9.549	     0.001255
9.550	     0.001271
9.551	     0.001286
9.552	     0.001300
9.553	     0.001314
9.554	     0.001328
9.555	     0.001341
9.556	     0.001354
9.557	     0.001366
9.558	     0.001378
9.559	     0.001390
9.560	     0.001401
9.561	     0.001412
9.562	     0.001422
9.563	     0.001432
9.564	     0.001441
9.565	     0.001450
9.566	     0.001459
9.567	     0.001468
9.568	     0.001477
9.569	     0.001485
9.570	     0.001494
9.571	     0.001503
9.572	     0.001511
9.573	     0.001519
9.574	     0.001527
9.575	     0.001535
9.576	     0.001543
9.577	     0.001551
9.578	     0.001560
9.579	     0.001568
9.580	     0.001577
9.581	     0.001586
9.582	     0.001595
9.583	     0.001605
9.584	     0.001614
9.585	     0.001624
9.586	     0.001634
9.587	     0.001644
9.588	     0.001654
9.589	     0.001665
9.590	     0.001676
9.591	     0.001687
9.592	     0.001698
9.593	     0.001710
9.594	     0.001721
9.595	     0.001733
9.596	     0.001745
9.597	     0.001757
9.598	     0.001770
9.599	     0.001782
9.600	     0.001795
9.601	     0.001808
9.602	     0.001820
9.603	     0.001833
9.604	     0.001847
9.605	     0.001860
9.606	     0.001873
9.607	     0.001886
9.608	     0.001899
9.609	     0.001913
9.610	     0.001926
9.611	     0.001940
9.612	     0.001953
9.613	     0.001967
9.614	     0.001980
9.615	     0.001994
9.616	     0.002008
9.617	     0.002022
9.618	     0.002036
9.619	     0.002050
9.620	     0.002065
9.621	     0.002079
9.622	     0.002093
9.623	     0.002108
9.624	     0.002123
9.625	     0.002138
9.626	     0.002153
9.627	     0.002168
9.628	     0.002184
9.629	     0.002199
9.630	     0.002215
9.631	     0.002231
9.632	     0.002247
9.633	     0.002263
9.634	     0.002279
9.635	     0.002295
9.636	     0.002312
9.637	     0.002328
9.638	     0.002345
9.639	     0.002362
9.640	     0.002379
9.641	     0.002396
9.642	     0.002413
9.643	     0.002430
9.644	     0.002447
9.645	     0.002465
9.646	     0.002482
9.647	     0.002500
9.648	     0.002518
9.649	     0.002536
9.650	     0.002554
9.651	     0.002572
9.652	     0.002590
9.653	     0.002609
9.654	     0.002627
9.655	     0.002645
9.656	     0.002664
9.657	     0.002683
9.658	     0.002701
9.659	     0.002720
9.660	     0.002740
9.661	     0.002759
9.662	     0.002779
9.663	     0.002800
9.664	     0.002820
9.665	     0.002841
9.666	     0.002862
9.667	     0.002883
9.668	     0.002905
9.669	     0.002927
9.670	     0.002949
9.671	     0.002971
9.672	     0.002994
9.673	     0.003017
9.674	     0.003041
9.675	     0.003065
9.676	     0.003089
9.677	     0.003114
9.678	     0.003138
9.679	     0.003163
9.680	     0.003189
9.681	     0.003214
9.682	     0.003240
9.683	     0.003266
9.684	     0.003292
9.685	     0.003319
9.686	     0.003345
9.687	     0.003372
9.688	     0.003399
9.689	     0.003426
9.690	     0.003453
9.691	     0.003480
9.692	     0.003508
9.693	     0.003535
9.694	     0.003562
9.695	     0.003590
9.696	     0.003618
9.697	     0.003645
9.698	     0.003674
9.699	     0.003702
9.700	     0.003731
9.701	     0.003759
9.702	     0.003788
9.703	     0.003817
9.704	     0.003846
9.705	     0.003876
9.706	     0.003906
9.707	     0.003936
9.708	     0.003967
9.709	     0.003998
9.710	     0.004030
9.711	     0.004062
9.712	     0.004094
9.713	     0.004127
9.714	     0.004160
9.715	     0.004194
9.716	     0.004228
9.717	     0.004263
9.718	     0.004298
9.719	     0.004334
9.720	     0.004371
9.721	     0.004408
9.722	     0.004446
9.723	     0.004485
9.724	     0.004524
9.725	     0.004564
9.726	     0.004604
9.727	     0.004644
9.728	     0.004685
9.729	     0.004727
9.730	     0.004769
9.731	     0.004812
9.732	     0.004855
9.733	     0.004898
9.734	     0.004942
9.735	     0.004987
9.736	     0.005032
9.737	     0.005078
9.738	     0.005124
9.739	     0.005170
9.740	     0.005218
9.741	     0.005265
9.742	     0.005314
9.743	     0.005362
9.744	     0.005412
9.745	     0.005461
9.746	     0.005512
9.747	     0.005563
9.748	     0.005614
9.749	     0.005665
9.750	     0.005717
9.751	     0.005770
9.752	     0.005823
9.753	     0.005877
